radius
12.3
10.1
5.6
8.9
4.8
18.6
13.4
7.8
11.1
23.6
20.9
8.2
9.1
17.2
6.5
3.9
17.5
24.7
4.3
8.3
22
10.6
6.7
4.9
15.4
22.7
